"STORE","STORE_NAME","STORE_CLASS","STORE_MGR_NAME","STORE_OPEN_DATE","STORE_CLOSE_DATE","PHONE_NUMBER","EMAIL","TOTAL_SQUARE_FT","SELLING_SQUARE_FT","LINEAR_DISTANCE","VAT_REGION","STOCKHOLDING_IND","CHANNEL_ID","FORMAT_NAME","STORE_FORMAT","MALL_NAME","TRANSFER_ZONE","DEFAULT_WH","DEFAULT_RDC","STOP_ORDER_DAYS","START_ORDER_DAYS","CURRENCY_CODE","LANG","TSF_ENTITY_ID","ORG_UNIT_ID","AUTO_RCV","STORE_TYPE","TIMEZONE_NAME","CUSTOMER_ORDER_LOC_IND","CREATE_ID","CREATE_DATETIME","BANNER_NAME","CHAIN_NAME","CHAIN_MGR_NAME","CHAIN_CURRENCY_CODE","CHANNEL_NAME","CHANNEL_TYPE","CO_NAME","CO_ADD1","CO_ADD2","CO_ADD3","CO_CITY","CO_STATE","CO_COUNTRY","CO_POST","CO_NAME_SECONDARY","CO_JURISDICTION_CODE","DISTRICT_NAME","DISTRICT_MGR_NAME","DISTRICT_CURRENCY_CODE","REGION_NAME","REGION_MGR_NAME","REGION_CURRENCY_CODE","COMPANY","CHAIN","AREA","REGION","DISTRICT","ADD_1","ADD_2","ADD_3","CITY","STATE","COUNTRY_ID","POST","CONTACT_NAME","COUNTY","JURISDICTION_CODE","AREA_NAME","AREA_CURRENCY_CODE","AREA_MGR_NAME","BUDGET_CCID","BRAND","BRAND_NAME","MAIN_BRAND","BUSINESS_UNIT","BUSSUNIT_DESC","BOX_DESC","STORE_COMP_STATUS","STORE_COMP_EFFECTIVE_DATE","STORE_COMP_DISCONTINUE_DATE","SOLO_MULTIBOX","LEGACY_STORE_CODE","RFID_ENABLED","ELIGIBLE_FOR_FORECAST"
31675,"HEN_PLAZA_HAWALLY","A","STM",23-04-19,,"+12345678","dummymail@alshaya.com","0","0","",7,"Y",31,"STAND-ALONE","STAND-ALONE","PLAZA HAWALLY",1,"800004",,"60","60","KWD",1,81,82,"D","C","Asia/Kuwait","Y","RMS01",09-06-22,"HEN_HENNES_&_MAURITZ","MIDDLE EAST","","","Brick and Mortar","BANDM","Alshaya Group","Burj Alshaya, Al Soor Street, Al Mirqab","","","Shuwaikh","KU","KWT","181","","","HAWALLY","","KWD","KUWAIT","","KWD",1,1,6,6,174,"PLAZA HAWALLY","","","HAWALLY","X08","KWT","","","","","KUWAIT","KWD","","RA1-Q314-HEN","HEN","HENNES_&_MAURITZ","HEN","","","HEN_PLAZA_HAWALLY - HEN","PTL",23-04-19,,"SOLO","1429","Y","Y"
31757,"HEN_MALL_OF_ARABIA","A","STM",24-06-09,,"+12345678","dummymail@alshaya.com","0","0","",6,"Y",31,"STAND-ALONE","STAND-ALONE","MALL OF ARABIA",1,"800106",,"60","60","SAR",1,135,137,"D","C","Asia/Riyadh","Y","RMS01",09-06-22,"HEN_HENNES_&_MAURITZ","MIDDLE EAST","","","Brick and Mortar","BANDM","Alshaya Group","Burj Alshaya, Al Soor Street, Al Mirqab","","","Shuwaikh","KU","KWT","181","","","RIYADH","","SAR","CENTRAL PROVINCE","","SAR",1,1,5,30,131,"MALL OF ARABIA","","","RIYADH","X03","SAU","","","","","SAUDI ARABIA","SAR","","RB2-1992-HEN","HEN","HENNES_&_MAURITZ","HEN","","","HEN_MALL_OF_ARABIA - HEN","LFL",24-06-09,,"SOLO","992","Y","Y"
38015,"ALS_TRENDYOL_UAE_2","A","Vikrant Sharma",29-08-24,,"+123456789","summy@alshaya.com","100","","",14,"N",16,"WEB STORE","WEB STORE","ALS_TRENDYOL_UAE_2",1,"800109",,"","60","AED",1,86,88,"Y","C","Asia/Dubai","N","SPRIYAKSHI",29-08-24,"ALS_ALSHAYA","MIDDLE EAST","","","B2B","WHSL","Alshaya Group","Burj Alshaya, Al Soor Street, Al Mirqab","","","Shuwaikh","KU","KWT","181","","","UAE CITY","","AED","UAE","","AED",1,1,12,12,163,"TRENDYOL UAE","","","Dubai","","ARE","","","","","UNITED ARAB EMIRATES","AED","","RE4-J769-HEN","HEN","HENNES_&_MAURITZ","HEN","","","ALS_TRENDYOL_UAE_2 - HEN","NEW",29-08-24,29-03-26,"SOLO","38015","N","Y"
31723,"HEN_ARRIBAT CENTER","C","STM",01-01-22,,"12345678","dummymail@alshaya.com","12333","","",10,"Y",1,"STAND-ALONE","STAND-ALONE","ARRIBAT CENTER",1,"800033",,"","60","MAD",1,3818,3820,"D","C","Africa/Casablanca","N","PRAVEEN.ALLIMUTHU",09-08-22,"ALS_ALSHAYA","MIDDLE EAST","","","Brick and Mortar","BANDM","Alshaya Group","Burj Alshaya, Al Soor Street, Al Mirqab","","","Shuwaikh","KU","KWT","181","","","CASABLANCA","","MAD","MOROCCO","","MAD",1,1,8,8,123,"CASABLANCA STREET","","","CASABLANCA","CHE","MAR","X01","","","","MOROCCO","MAD","","RJ1-M041-HEN","HEN","HENNES_&_MAURITZ","HEN","","","HEN_ARRIBAT CENTER - HEN","NEW",09-08-22,29-03-26,"SOLO","31723","Y","Y"
31730,"HEN_AVENUES MALL-PHASE 4","A","STM",04-10-17,,"+12345678","dummymail@alshaya.com","0","0","",7,"Y",31,"STAND-ALONE","STAND-ALONE","AVENUES MALL PHASE 4",1,"800004",,"60","60","KWD",1,81,82,"D","C","Asia/Kuwait","N","RMS01",09-06-22,"HEN_HENNES_&_MAURITZ","MIDDLE EAST","","","Brick and Mortar","BANDM","Alshaya Group","Burj Alshaya, Al Soor Street, Al Mirqab","","","Shuwaikh","KU","KWT","181","","","AL RAI","","KWD","KUWAIT","","KWD",1,1,6,6,168,"AVENUES MALL PHASE 4","","","AL RAI","X08","KWT","","","","","KUWAIT","KWD","","RA1-Q200-HEN","HEN","HENNES_&_MAURITZ","HEN","","","HEN_AVENUES MALL-PHASE 4 - HEN","LFL",04-10-17,,"SOLO","1058","Y","Y"
31749,"HEN_CITY MALL STR","A","STM",28-12-15,,"+12345678","dummymail@alshaya.com","0","0","",5,"Y",31,"STAND-ALONE","STAND-ALONE","CITY MALL(NEW)",1,"800028",,"60","60","JOD",1,156,157,"D","C","Asia/Amman","N","RMS01",09-06-22,"HEN_HENNES_&_MAURITZ","MIDDLE EAST","","","Brick and Mortar","BANDM","Alshaya Group","Burj Alshaya, Al Soor Street, Al Mirqab","","","Shuwaikh","KU","KWT","181","","","AMMAN","","JOD","JORDAN","","JOD",1,1,4,4,115,"CITY MALL(NEW)","","","AMMAN","X09","JOR","","","","","JORDAN","JOD","","RH1-5586-HEN","HEN","HENNES_&_MAURITZ","HEN","","","HEN_CITY MALL STR - HEN","LFL",28-12-15,,"SOLO","614","","Y"
31761,"HEN_THE_AVENUES STR","A","STM",19-07-17,,"+12345678","dummymail@alshaya.com","0","0","",2,"Y",31,"STAND-ALONE","STAND-ALONE","THE AVENUES",1,"800021",,"60","60","BHD",1,77463,25620,"D","C","Asia/Bahrain","N","RMS01",09-06-22,"HEN_HENNES_&_MAURITZ","MIDDLE EAST","","","Brick and Mortar","BANDM","Alshaya Group","Burj Alshaya, Al Soor Street, Al Mirqab","","","Shuwaikh","KU","KWT","181","","","MANAMA","","BHD","BAHRAIN","","BHD",1,1,2,2,100,"THE AVENUES","","","MANAMA","X12","BHR","","","","","BAHRAIN","BHD","","RC1-3013-HEN","HEN","HENNES_&_MAURITZ","HEN","","","HEN_THE_AVENUES STR - HEN","LFL",19-07-17,,"SOLO","1043","Y","Y"
31774,"HEN_AL BIRAQ_MALL","A","STM",12-07-09,,"+12345678","dummymail@alshaya.com","0","0","",7,"Y",31,"STAND-ALONE","STAND-ALONE","AL BIRAQ MALL",1,"800004",,"60","60","KWD",1,81,82,"D","C","Asia/Kuwait","N","RMS01",09-06-22,"HEN_HENNES_&_MAURITZ","MIDDLE EAST","","","Brick and Mortar","BANDM","Alshaya Group","Burj Alshaya, Al Soor Street, Al Mirqab","","","Shuwaikh","KU","KWT","181","","","KUWAIT CITY","","KWD","KUWAIT","","KWD",1,1,6,6,117,"AL BIRAQ MALL","","","KUWAIT CITY","X08","KWT","","","","","KUWAIT","KWD","","RA1-1073-HEN","HEN","HENNES_&_MAURITZ","HEN","","","HEN_AL BIRAQ_MALL - HEN","LFL",12-07-09,29-03-26,"SOLO","602","","Y"
31956,"HEN_ABC_DBAYIEH","A","STOREMANAGER",23-01-12,,"12345678","dummy1mail@alshaya.com","0","","",8,"Y",31,"STAND-ALONE","STAND-ALONE","ABC DBAYIEH 2",1,"800071",,"","60","LBP",1,101,103,"D","C","Asia/Beirut","N","KRISHNAN",03-08-22,"HEN_HENNES_&_MAURITZ","MIDDLE EAST","","","Brick and Mortar","BANDM","Alshaya Group","Burj Alshaya, Al Soor Street, Al Mirqab","","","Shuwaikh","KU","KWT","181","","","MOUNT LEBANON","","LBP","LEBANON","","LBP",1,1,7,7,184,"ABC DBAYIEH 2","","","MOUNT LEBANON","BI","LBN","","","","","LEBANON","LBP","","RG1-5017-HEN","HEN","HENNES_&_MAURITZ","HEN","","","HEN_ABC_DBAYIEH - HEN","NEW",03-08-22,29-03-26,"SOLO","31956","Y","Y"
31709,"HEN_DUBAI_MALL","A","STM",13-01-09,,"+12345678","dummymail@alshaya.com","0","0","",14,"Y",31,"STAND-ALONE","STAND-ALONE","DUBAI MALL",1,"800008",,"60","60","AED",1,81463,25740,"D","C","Asia/Dubai","Y","RMS01",09-06-22,"HEN_HENNES_&_MAURITZ","MIDDLE EAST","","","Brick and Mortar","BANDM","Alshaya Group","Burj Alshaya, Al Soor Street, Al Mirqab","","","Shuwaikh","KU","KWT","181","","","DUBAI","","AED","UAE","","AED",1,1,12,12,159,"DUBAI MALL","","","DUBAI","X01","ARE","","","","","UNITED ARAB EMIRATES","AED","","RE1-3890-HEN","HEN","HENNES_&_MAURITZ","HEN","","","HEN_DUBAI_MALL - HEN","LFL",13-01-09,,"SOLO","149","Y","Y"
