"BRAND","TIME_ID","OPTION_ID","STORE","REGULAR_SLS_UNITS","PROMO_SLS_UNITS","MRKDWN_SLS_UNITS","BASE_HISTORY"
"AME",202415,"130213005_AMEC001",30029,2,6,0,8
"AME",202415,"130717656_AMEC800",30064,0,0,1,0
"AME",202415,"331179022_AMEC130",32064,0,1,0,1
"AME",202415,"331354190_AMEC100",30057,3,5,0,8
"AME",202415,"331354190_AMEC001",30101,0,1,0,1
"AME",202415,"331334139_AMEC219",30022,1,0,0,1
"AME",202415,"129320004_AMEC900",30913,0,3,0,3
"AME",202415,"331334139_AMEC219",30914,2,0,0,2
"AME",202415,"130362609_AMEC001",30914,0,0,3,0
"AME",202415,"331074769_AMEC001",30093,2,1,0,3
"AME",202415,"331334139_AMEC219",30093,1,4,0,5
"AME",202415,"331179022_AMEC400",30881,0,1,0,1
"AME",202415,"271859385_AMEC309",30093,1,0,0,1
"AME",202415,"130097419_AMEC615",30085,0,0,1,0
"AME",202415,"130213005_AMEC001",30093,4,0,0,4
"AME",202415,"331179022_AMEC400",30024,1,0,0,1
"AME",202415,"271859385_AMEC309",30024,0,0,1,0
"AME",202415,"130362609_AMEC200",30085,0,0,5,0
"AME",202415,"331179022_AMEC130",30074,0,2,0,2
"AME",202415,"331179022_AMEC400",30074,3,0,0,3
"AME",202415,"130362609_AMEC001",30089,0,0,1,0
"AME",202415,"271859385_AMEC309",33088,0,0,4,0
"AME",202415,"130393112_AMEC200",30054,1,0,1,1
"AME",202415,"130127836_AMEC823",30017,0,0,1,0
"AME",202415,"130162204_AMEC300",30066,0,0,2,0
"AME",202415,"331354190_AMEC001",30100,0,2,0,2
"AME",202415,"331354190_AMEC100",30100,0,3,0,3
"AME",202415,"130127836_AMEC106",30066,0,0,1,0
"AME",202415,"331179022_AMEC400",30044,1,0,0,1
"AME",202415,"130213005_AMEC001",30017,0,2,0,2
"AME",202415,"332019166_AMEC400",30044,1,1,0,2
"AME",202415,"130712655_AMEC100",30915,0,0,5,0
"AME",202415,"130213005_AMEC001",30015,2,1,0,3
"AME",202415,"331179022_AMEC400",30022,1,0,0,1
"AME",202415,"331179022_AMEC400",30071,2,0,0,2
"AME",202415,"130132136_AMEC200",33093,0,0,5,0
"AME",202415,"273989949_AMEC600",33099,0,1,0,1
"AME",202415,"130712655_AMEC100",33099,0,0,1,0
"AME",202415,"273989949_AMEC001",30054,1,1,0,2
"AME",202415,"331179022_AMEC130",30054,1,0,0,1
"AME",202415,"130303238_AMEC300",30069,0,0,1,0
"AME",202415,"130132136_AMEC200",30031,0,0,1,0
"AME",202415,"130342852_AMEC529",30069,0,0,1,0
"AME",202415,"273909493_AMEC300",30057,1,0,0,1
"AME",202415,"129320004_AMEC900",30101,0,11,0,11
"AME",202415,"331354190_AMEC001",30095,0,2,0,2
"AME",202415,"130213005_AMEC001",32012,1,1,0,2
"AME",202415,"130213005_AMEC001",30849,1,0,0,1
"AME",202415,"129320004_AMEC900",30095,4,2,0,6
"AME",202415,"331354190_AMEC100",30915,0,6,0,6
"AME",202415,"331074769_AMEC001",30915,0,1,0,1
"AME",202415,"331179022_AMEC130",30881,0,2,0,2
"AME",202415,"130727664_AMEC300",30915,0,0,4,0
"AME",202415,"130302634_AMEC900",30915,0,0,2,0
"AME",202415,"130097419_AMEC615",30915,0,0,4,0
"AME",202415,"129377404_AMEC700",30066,0,0,3,0
"AME",202415,"130127836_AMEC823",30066,0,0,2,0
"AME",202415,"130213005_AMEC100",30044,8,15,0,23
"AME",202415,"128984126_AMEC109",30029,0,4,0,4
"AME",202415,"130213005_AMEC100",30017,1,3,0,4
"AME",202415,"128984126_AMEC109",33093,2,0,0,2
"AME",202415,"273989949_AMEC001",33099,2,0,0,2
"AME",202415,"331179022_AMEC400",32057,0,2,0,2
"AME",202415,"129033419_AMEC013",30030,0,0,2,0
"AME",202415,"273989949_AMEC001",30064,0,0,2,0
"AME",202415,"128984126_AMEC109",30100,0,12,0,12
"AME",202415,"129377404_AMEC100",30066,0,0,4,0
"AME",202415,"331074769_AMEC001",33099,1,0,0,1
"AME",202415,"130213005_AMEC100",30064,0,3,0,3
"AME",202415,"331354190_AMEC001",32064,1,0,0,1
"AME",202415,"331179022_AMEC400",32064,0,1,0,1
"AME",202415,"129320004_AMEC900",32064,1,0,0,1
"AME",202415,"130752707_AMEC651",30054,0,0,1,0
"AME",202415,"130213005_AMEC100",30070,1,0,0,1
"AME",202415,"130717656_AMEC800",33099,0,0,1,0
"AME",202415,"332019166_AMEC400",30065,1,0,0,1
"AME",202415,"331354190_AMEC100",30101,0,1,0,1
"AME",202415,"331074769_AMEC001",30101,0,3,0,3
"AME",202415,"128984126_AMEC109",30101,0,4,0,4
"AME",202415,"128984126_AMEC109",30913,0,2,0,2
"AME",202415,"331354190_AMEC100",30095,1,0,0,1
"AME",202415,"273989949_AMEC600",30083,0,1,0,1
"AME",202415,"131062647_AMEC001",30085,0,0,2,0
"AME",202415,"130302626_AMEC669",30085,0,0,2,0
"AME",202415,"130393112_AMEC200",31076,1,0,0,1
"AME",202415,"130213005_AMEC100",30071,0,2,0,2
"AME",202415,"130362609_AMEC309",30913,0,0,1,0
"AME",202415,"130132136_AMEC200",30053,0,0,1,0
"AME",202415,"130347879_AMEC100",30915,0,0,2,0
"AME",202415,"129320004_AMEC900",30048,0,1,0,1
"AME",202415,"130717656_AMEC800",30069,0,0,4,0
"AME",202415,"130302634_AMEC900",30069,0,0,1,0
"AME",202415,"130213005_AMEC100",30031,0,2,0,2
"AME",202415,"129320004_AMEC900",33093,5,0,0,5
"AME",202415,"130213005_AMEC100",30072,2,0,0,2
"AME",202415,"331179022_AMEC130",30101,0,3,0,3
"AME",202415,"331179022_AMEC130",30057,0,0,1,0
"AME",202415,"130362609_AMEC309",33092,0,0,2,0
"AME",202415,"130362609_AMEC309",30066,0,0,2,0
"AME",202415,"332019166_AMEC400",30095,1,0,0,1
"AME",202415,"128984126_AMEC109",30083,1,0,0,1
"AME",202415,"130213005_AMEC100",30095,2,1,0,3
"AME",202415,"130097419_AMEC615",30066,0,0,3,0
"AME",202415,"129507116_AMEC210",30066,0,0,1,0
"AME",202415,"130362611_AMEC900",31050,1,0,0,1
"AME",202415,"128984126_AMEC109",30865,3,4,0,7
"AME",202415,"273989949_AMEC001",32051,0,3,0,3
"AME",202415,"273989949_AMEC600",32051,1,1,0,2
